dataset,pipeline,run_label,run_short,item_id,community_id,superclaim,ann_a_is_narr,ann_a_label_match,ann_a_confidence,ann_b_is_narr,ann_b_label_match,ann_b_confidence,merged_a,merged_b
co,cluster,co_harm_persona,cp,hle_11,3,The Great Lakes Tunnel is essential for Michigan's long-term energy security and economic prosperity.,yes,"Pragmatism/Pragmatic Energy mix. Portrays oil and gas as essential, reliable, affordable, and safe energy sources critical for maintaining power systems",4,yes,"We need fossil fuels for economic growth, prosperity, and to maintain our standard of living. Fossil fuels are good for the economy, society, and/or the environment.",4,match,match
co,cluster,co_harm_persona,cp,hle_110,37,The adoption of innovative technologies and infrastructure is the primary driver for reducing industrial emissions.,yes,"Green Innovation and Climate Solutions. Highlights efforts to reduce greenhouse gas emissions through internal targets, policy support, voluntary initiatives, and emissions reduction technologies",3,yes,"Green Innovation and Climate Solutions. Highlights efforts to reduce greenhouse gas emissions through internal targets, policy support, voluntary initiatives, and emissions reduction technologies",3,match,match
co,cluster,co_harm_persona,cp,hle_111,37,Strategic partnerships and policy implementations have successfully reduced carbon emissions to generational lows.,yes,"Green Innovation and Climate Solutions. Highlights efforts to reduce greenhouse gas emissions through internal targets, policy support, voluntary initiatives, and emissions reduction technologies",4,yes,"Green Innovation and Climate Solutions. Highlights efforts to reduce greenhouse gas emissions through internal targets, policy support, voluntary initiatives, and emissions reduction technologies",3,match,match
co,cluster,co_harm_persona,cp,hle_112,37,The organization is successfully meeting its environmental goals through a combination of technology and strategy.,no,,,no,,,no,no
co,cluster,co_harm_persona,cp,hle_113,38,The oil and gas industry is a primary driver of technological innovation for reducing greenhouse gas emissions.,yes,"Green Innovation and Climate Solutions. Highlights efforts to reduce greenhouse gas emissions through internal targets, policy support, voluntary initiatives, and emissions reduction technologies",4,yes,"Green Innovation and Climate Solutions. Highlights efforts to reduce greenhouse gas emissions through internal targets, policy support, voluntary initiatives, and emissions reduction technologies",3,match,match
co,cluster,co_harm_persona,cp,hle_114,38,Private sector energy companies are essential partners in the global effort to reduce carbon emissions.,no,,,no,,,no,no
co,cluster,co_harm_persona,cp,hle_115,38,Industry-led investment in carbon capture and emission-reduction technology is an effective means of lowering greenhouse gases.,yes,"Green Innovation and Climate Solutions. Highlights efforts to reduce greenhouse gas emissions through internal targets, policy support, voluntary initiatives, and emissions reduction technologies",4,yes,Green Innovation and Climate Solutions. Promotes 'clean' or 'green' fossil fuels as part of climate solutions,5,match,match
co,cluster,co_harm_persona,cp,hle_116,39,The oil and natural gas industry provides essential societal value and deserves broad public support.,yes,"Community & Resilience. Emphasizes how the oil and gas sector contributes to local and national economies through tax revenues, charitable efforts, and support for local businesses",4,yes,"We need fossil fuels for economic growth, prosperity, and to maintain our standard of living. Fossil fuels are good for the economy, society, and/or the environment.",4,match,match
co,cluster,co_harm_persona,cp,hle_117,39,Political leaders and voters must actively prioritize policies that protect the oil and gas industry.,yes,"We need fossil fuels for economic growth, prosperity, and to maintain our standard of living. Fossil fuels are good for the economy, society, and/or the environment.",3,yes,"Other (in-domain, no match)",2,match,other
co,cluster,co_harm_persona,cp,hle_118,39,Organized advocacy is necessary to correct negative public perceptions of the oil and gas workforce.,yes,"Other (in-domain, no match)",3,yes,"Other (in-domain, no match)",2,other,other
co,cluster,co_harm_persona,cp,hle_119,40,The federal government should provide emergency energy assistance funding to protect low-income households and seniors.,no,,,no,,,no,no
co,cluster,co_harm_persona,cp,hle_12,3,The Great Lakes Tunnel should be approved because it is a privately funded project with broad stakeholder consensus.,yes,"Other (in-domain, no match)",3,no,,,other,no
co,cluster,co_harm_persona,cp,hle_120,40,"The U.S. government should prioritize direct financial stimulus for families, workers, and domestic businesses.",no,,,no,,,no,no
co,cluster,co_harm_persona,cp,hle_121,41,The Texas oil and natural gas industry is the primary driver of economic prosperity and energy security.,yes,"Community & Resilience. Emphasizes how the oil and gas sector contributes to local and national economies through tax revenues, charitable efforts, and support for local businesses",4,yes,"Community & Resilience. Emphasizes how the oil and gas sector contributes to local and national economies through tax revenues, charitable efforts, and support for local businesses",5,match,match
co,cluster,co_harm_persona,cp,hle_122,41,The oil and gas industry is a responsible leader that fosters social and environmental improvement in Texas.,yes,"Other (in-domain, no match)",3,yes,"Community & Resilience. Emphasizes how the oil and gas sector contributes to local and national economies through tax revenues, charitable efforts, and support for local businesses",5,other,match
co,cluster,co_harm_persona,cp,hle_123,41,The oil and gas industry is a fundamental and positive pillar of Texas's historical identity and success.,yes,"Community & Resilience. Emphasizes how the oil and gas sector contributes to local and national economies through tax revenues, charitable efforts, and support for local businesses",3,no,,,match,no
co,cluster,co_harm_persona,cp,hle_124,42,Texas must maintain its position as a global leader in energy production to ensure its own economic stability.,yes,"We need fossil fuels for economic growth, prosperity, and to maintain our standard of living. Fossil fuels are good for the economy, society, and/or the environment.",3,no,,,match,no
co,cluster,co_harm_persona,cp,hle_125,42,High levels of energy production in Texas are essential for the overall national strength and security of the United States.,yes,"We need fossil fuels for economic growth, prosperity, and to maintain our standard of living. Fossil fuels are good for the economy, society, and/or the environment.",3,yes,"Patriotic Energy mix. Stresses how domestic oil and gas production benefits the nation, including energy independence, energy leadership, and the idea of supporting American energy",5,match,match
co,cluster,co_harm_persona,cp,hle_126,43,Energy Transfer's pipeline infrastructure is essential for the production of life-saving medical supplies and equipment.,yes,Pragmatism/Pragmatic Energy mix. Emphasizes the importance of oil and gas as raw materials for various non-power-related uses and manufactured goods.,5,yes,"Other (in-domain, no match)",5,match,other
co,cluster,co_harm_persona,cp,hle_127,43,The operation of fossil fuel infrastructure is necessary to maintain public health and critical societal functions.,yes,"We need fossil fuels for economic growth, prosperity, and to maintain our standard of living. Fossil fuels are good for the economy, society, and/or the environment.",3,yes,"Pragmatism/Pragmatic Energy mix. Portrays oil and gas as essential, reliable, affordable, and safe energy sources critical for maintaining power systems",5,match,match
co,cluster,co_harm_persona,cp,hle_128,43,Industrial workers provide the critical labor and raw materials necessary to sustain medical supply chains during crises.,unclear,,,no,,,no,no
co,cluster,co_harm_persona,cp,hle_129,44,"Natural gas is a safe, reliable, and cost-effective energy source that provides significant economic benefits.",yes,"We need fossil fuels for economic growth, prosperity, and to maintain our standard of living. Fossil fuels are good for the economy, society, and/or the environment.",4,yes,"Pragmatism/Pragmatic Energy mix. Portrays oil and gas as essential, reliable, affordable, and safe energy sources critical for maintaining power systems",5,match,match
co,cluster,co_harm_persona,cp,hle_13,4,Individuals must prioritize safety and official reporting protocols when encountering damaged electrical infrastructure.,no,,,no,,,no,no
co,cluster,co_harm_persona,cp,hle_130,44,Natural gas infrastructure is essential for maintaining critical societal functions and modern quality of life.,yes,"We need fossil fuels for economic growth, prosperity, and to maintain our standard of living. Fossil fuels are good for the economy, society, and/or the environment.",4,no,,,match,no
co,cluster,co_harm_persona,cp,hle_131,44,Strict regulatory oversight and infrastructure modernization are necessary to ensure the safety and security of natural gas.,no,,,no,,,no,no
co,cluster,co_harm_persona,cp,hle_132,45,Natural gas is a necessary transitional fuel for achieving a low-carbon energy future.,yes,Green Innovation and Climate Solutions. Promotes 'clean' or 'green' fossil fuels as part of climate solutions,3,yes,Green Innovation and Climate Solutions. Promotes 'clean' or 'green' fossil fuels as part of climate solutions,5,match,match
co,cluster,co_harm_persona,cp,hle_133,45,Natural gas is essential for maintaining grid stability and reliability for intermittent renewable energy.,yes,"Pragmatism/Pragmatic Energy mix. Portrays oil and gas as essential, reliable, affordable, and safe energy sources critical for maintaining power systems",5,yes,"Pragmatism/Pragmatic Energy mix. Portrays oil and gas as essential, reliable, affordable, and safe energy sources critical for maintaining power systems",3,match,match
co,cluster,co_harm_persona,cp,hle_134,45,Natural gas should be formally integrated and classified as a component of clean energy strategies.,yes,Green Innovation and Climate Solutions. Promotes 'clean' or 'green' fossil fuels as part of climate solutions,5,yes,Green Innovation and Climate Solutions. Promotes 'clean' or 'green' fossil fuels as part of climate solutions,5,match,match
co,cluster,co_harm_persona,cp,hle_135,46,Domestic fossil fuel production is a primary driver of regional economic growth and community revitalization.,yes,"We need fossil fuels for economic growth, prosperity, and to maintain our standard of living. Fossil fuels are good for the economy, society, and/or the environment.",4,yes,"We need fossil fuels for economic growth, prosperity, and to maintain our standard of living. Fossil fuels are good for the economy, society, and/or the environment.",5,match,match
co,cluster,co_harm_persona,cp,hle_136,46,The global economy and industrial infrastructure remain fundamentally dependent on a continued supply of fossil fuels.,yes,"We need fossil fuels for economic growth, prosperity, and to maintain our standard of living. Fossil fuels are good for the economy, society, and/or the environment.",4,no,,,match,no
co,cluster,co_harm_persona,cp,hle_137,46,Fossil fuel development is essential for maintaining broad social welfare and long-term economic stability.,yes,"We need fossil fuels for economic growth, prosperity, and to maintain our standard of living. Fossil fuels are good for the economy, society, and/or the environment.",4,yes,"We need fossil fuels for economic growth, prosperity, and to maintain our standard of living. Fossil fuels are good for the economy, society, and/or the environment.",5,match,match
co,cluster,co_harm_persona,cp,hle_138,47,Natural gas is a critical and effective tool for reducing global carbon emissions.,yes,Green Innovation and Climate Solutions. Promotes 'clean' or 'green' fossil fuels as part of climate solutions,3,yes,Green Innovation and Climate Solutions. Promotes 'clean' or 'green' fossil fuels as part of climate solutions,5,match,match
co,cluster,co_harm_persona,cp,hle_139,47,Replacing coal with natural gas in electricity generation reduces carbon emission intensity.,no,,,no,,,no,no
co,cluster,co_harm_persona,cp,hle_14,4,Professional equipment and expert planning are essential for safe and efficient landscaping and excavation work.,no,,,no,,,no,no
co,cluster,co_harm_persona,cp,hle_140,47,Natural gas infrastructure and utilities are essential for a reliable and affordable clean energy transition.,yes,"Other (in-domain, no match)",4,yes,"Pragmatism/Pragmatic Energy mix. Portrays oil and gas as essential, reliable, affordable, and safe energy sources critical for maintaining power systems",5,other,match
co,cluster,co_harm_persona,cp,hle_141,47,Policies that phase out natural gas are counterproductive to achieving emission reduction goals.,unclear,,,yes,"Pragmatism/Pragmatic Energy mix. Portrays oil and gas as essential, reliable, affordable, and safe energy sources critical for maintaining power systems",5,no,match
co,cluster,co_harm_persona,cp,hle_142,48,Natural gas and its infrastructure are essential drivers of environmental progress and national energy security.,yes,"We need fossil fuels for economic growth, prosperity, and to maintain our standard of living. Fossil fuels are good for the economy, society, and/or the environment.",4,yes,"Pragmatism/Pragmatic Energy mix. Portrays oil and gas as essential, reliable, affordable, and safe energy sources critical for maintaining power systems",4,match,match
co,cluster,co_harm_persona,cp,hle_143,48,Transitioning from oil refining to natural gas liquids production significantly improves air quality and environmental outcomes.,yes,"We need fossil fuels for economic growth, prosperity, and to maintain our standard of living. Fossil fuels are good for the economy, society, and/or the environment.",3,no,,,match,no
co,cluster,co_harm_persona,cp,hle_144,48,Technological innovation and the use of clean-burning fuels like propane ensure the environmental viability of natural gas.,yes,Green Innovation and Climate Solutions. Promotes 'clean' or 'green' fossil fuels as part of climate solutions,4,no,,,match,no
co,cluster,co_harm_persona,cp,hle_145,49,Banning or restricting domestic oil and gas production causes severe national and regional economic decline.,yes,"We need fossil fuels for economic growth, prosperity, and to maintain our standard of living. Fossil fuels are good for the economy, society, and/or the environment.",3,yes,"We need fossil fuels for economic growth, prosperity, and to maintain our standard of living. Fossil fuels are good for the economy, society, and/or the environment.",4,match,match
co,cluster,co_harm_persona,cp,hle_146,49,Federal bans on fossil fuel development undermine U.S. energy security and global leadership.,yes,"Patriotic Energy mix. Stresses how domestic oil and gas production benefits the nation, including energy independence, energy leadership, and the idea of supporting American energy",4,yes,"Patriotic Energy mix. Stresses how domestic oil and gas production benefits the nation, including energy independence, energy leadership, and the idea of supporting American energy",4,match,match
co,cluster,co_harm_persona,cp,hle_147,49,Leasing bans on federal lands are counterproductive to environmental goals by increasing carbon emissions.,yes,"Other (in-domain, no match)",2,yes,"Climate solutions are harmful or unnecessary. Climate solutions are harmful to the economy, society, and/or the environment.",3,other,match
co,cluster,co_harm_persona,cp,hle_148,50,Energy providers possess the institutional capacity to maintain critical infrastructure reliability during public health crises.,unclear,,,no,,,no,no
co,cluster,co_harm_persona,cp,hle_149,50,Utility providers and governments successfully protect vulnerable populations from service interruptions during crises.,no,,,no,,,no,no
co,cluster,co_harm_persona,cp,hle_15,4,Contacting utility location services like 811 before digging is mandatory to prevent underground infrastructure damage.,no,,,no,,,no,no
co,cluster,co_harm_persona,cp,hle_150,50,The stability of the electric grid is the fundamental prerequisite for all other critical societal infrastructure.,no,,,no,,,no,no
co,cluster,co_harm_persona,cp,hle_151,51,Energy grid costs should be distributed equally among all users without preferential subsidies.,no,,,no,,,no,no
co,cluster,co_harm_persona,cp,hle_152,51,Rapid transitions away from natural gas threaten energy reliability and increase costs for consumers.,yes,"Pragmatism/Pragmatic Energy mix. Portrays oil and gas as essential, reliable, affordable, and safe energy sources critical for maintaining power systems",4,yes,"Pragmatism/Pragmatic Energy mix. Portrays oil and gas as essential, reliable, affordable, and safe energy sources critical for maintaining power systems",4,match,match
co,cluster,co_harm_persona,cp,hle_153,51,Government interventions and legislative priorities for green energy unfairly penalize the general public.,yes,"Climate solutions are harmful or unnecessary. Climate solutions are harmful to the economy, society, and/or the environment.",4,yes,"Climate solutions are harmful or unnecessary. Climate solutions are harmful to the economy, society, and/or the environment.",4,match,match
co,cluster,co_harm_persona,cp,hle_154,52,Restricting domestic energy production undermines national security by increasing vulnerability to hostile foreign regimes.,yes,"Patriotic Energy mix. Stresses how domestic oil and gas production benefits the nation, including energy independence, energy leadership, and the idea of supporting American energy",3,yes,"Patriotic Energy mix. Stresses how domestic oil and gas production benefits the nation, including energy independence, energy leadership, and the idea of supporting American energy",5,match,match
co,cluster,co_harm_persona,cp,hle_155,52,Reducing domestic energy production shifts supply to foreign sources with inferior environmental and labor standards.,unclear,,,yes,"Patriotic Energy mix. Stresses how domestic oil and gas production benefits the nation, including energy independence, energy leadership, and the idea of supporting American energy",5,no,match
co,cluster,co_harm_persona,cp,hle_156,52,Foreign energy-producing nations actively undermine U.S. energy independence to maintain their own global geopolitical influence.,yes,"Other (in-domain, no match)",2,yes,"Patriotic Energy mix. Stresses how domestic oil and gas production benefits the nation, including energy independence, energy leadership, and the idea of supporting American energy",5,other,match
co,cluster,co_harm_persona,cp,hle_157,53,The Texas Railroad Commission should not implement oil and gas production limits to protect economic stability.,yes,"We need fossil fuels for economic growth, prosperity, and to maintain our standard of living. Fossil fuels are good for the economy, society, and/or the environment.",4,yes,"We need fossil fuels for economic growth, prosperity, and to maintain our standard of living. Fossil fuels are good for the economy, society, and/or the environment.",5,match,match
co,cluster,co_harm_persona,cp,hle_158,53,Restricting domestic energy production undermines United States national security and global geopolitical strength.,yes,"Patriotic Energy mix. Stresses how domestic oil and gas production benefits the nation, including energy independence, energy leadership, and the idea of supporting American energy",5,yes,"Patriotic Energy mix. Stresses how domestic oil and gas production benefits the nation, including energy independence, energy leadership, and the idea of supporting American energy",5,match,match
co,cluster,co_harm_persona,cp,hle_159,53,Proposed production cuts are driven by politically connected elites rather than sound public policy.,yes,"Other (in-domain, no match)",4,yes,"Patriotic Energy mix. Stresses how domestic oil and gas production benefits the nation, including energy independence, energy leadership, and the idea of supporting American energy",4,other,match
co,cluster,co_harm_persona,cp,hle_16,5,The Transportation and Climate Initiative effectively balances economic growth with environmental protection.,yes,"Other (in-domain, no match)",1,no,,,other,no
co,cluster,co_harm_persona,cp,hle_160,54,Government regulations on the energy sector are ineffective and cause widespread economic harm.,yes,"Climate solutions are harmful or unnecessary. Climate solutions are harmful to the economy, society, and/or the environment.",4,yes,"Other (in-domain, no match)",5,match,other
co,cluster,co_harm_persona,cp,hle_161,54,Restrictive energy policies discourage private investment and drive energy companies out of the state.,yes,"Patriotic Energy mix. Stresses how domestic oil and gas production benefits the nation, including energy independence, energy leadership, and the idea of supporting American energy",3,yes,"Climate solutions are harmful or unnecessary. Climate solutions are harmful to the economy, society, and/or the environment.",5,match,match
co,cluster,co_harm_persona,cp,hle_162,54,State-level restrictions on energy production deprive local communities of essential funding for public services.,yes,"Community & Resilience. Emphasizes how the oil and gas sector contributes to local and national economies through tax revenues, charitable efforts, and support for local businesses",4,yes,"Community & Resilience. Emphasizes how the oil and gas sector contributes to local and national economies through tax revenues, charitable efforts, and support for local businesses",5,match,match
co,cluster,co_harm_persona,cp,hle_163,55,Expanding domestic oil and gas production is essential for United States national security and energy independence.,yes,"Patriotic Energy mix. Stresses how domestic oil and gas production benefits the nation, including energy independence, energy leadership, and the idea of supporting American energy",4,yes,"Patriotic Energy mix. Stresses how domestic oil and gas production benefits the nation, including energy independence, energy leadership, and the idea of supporting American energy",5,match,match
co,cluster,co_harm_persona,cp,hle_164,55,The domestic energy industry is a primary driver of American economic stability and technological innovation.,yes,"Patriotic Energy mix. Stresses how domestic oil and gas production benefits the nation, including energy independence, energy leadership, and the idea of supporting American energy",4,yes,"Patriotic Energy mix. Stresses how domestic oil and gas production benefits the nation, including energy independence, energy leadership, and the idea of supporting American energy",5,match,match
co,cluster,co_harm_persona,cp,hle_165,55,The United States must implement policies that protect and prioritize the domestic energy sector to maintain global leadership.,yes,"Patriotic Energy mix. Stresses how domestic oil and gas production benefits the nation, including energy independence, energy leadership, and the idea of supporting American energy",4,yes,"Patriotic Energy mix. Stresses how domestic oil and gas production benefits the nation, including energy independence, energy leadership, and the idea of supporting American energy",5,match,match
co,cluster,co_harm_persona,cp,hle_166,56,Energy companies act as socially responsible citizens by providing essential financial and operational support to local communities.,yes,"Community & Resilience. Emphasizes how the oil and gas sector contributes to local and national economies through tax revenues, charitable efforts, and support for local businesses",5,yes,"Community & Resilience. Emphasizes how the oil and gas sector contributes to local and national economies through tax revenues, charitable efforts, and support for local businesses",5,match,match
co,cluster,co_harm_persona,cp,hle_167,56,Corporate philanthropy is strategically used by energy firms to secure social license and cultivate a positive public image.,no,,,no,,,no,no
co,cluster,co_harm_persona,cp,hle_168,56,Community investment and mutual aid are driven by a moral obligation to support neighbors and maintain regional stability.,no,,,no,,,no,no
co,cluster,co_harm_persona,cp,hle_169,57,Corporate-sponsored specialized training for first responders significantly enhances community safety and industrial risk mitigation.,no,,,no,,,no,no
co,cluster,co_harm_persona,cp,hle_17,5,Carbon pricing on transportation generates specific economic benefits including job creation and infrastructure improvement.,no,,,yes,Community & Resilience. Focuses on the creation and sustainability of jobs by the oil and gas industry.,4,no,match
co,cluster,co_harm_persona,cp,hle_170,57,Public-private partnerships between energy corporations and academic institutions are essential for optimizing emergency response readiness.,no,,,no,,,no,no
co,cluster,co_harm_persona,cp,hle_171,57,Corporate sponsorship of emergency services training creates a tension between operational benefit and corporate influence.,no,,,no,,,no,no
co,cluster,co_harm_persona,cp,hle_172,58,The oil and natural gas industry is essential for maintaining modern standards of living and societal stability.,yes,"We need fossil fuels for economic growth, prosperity, and to maintain our standard of living. Fossil fuels are good for the economy, society, and/or the environment.",5,yes,"We need fossil fuels for economic growth, prosperity, and to maintain our standard of living. Fossil fuels are good for the economy, society, and/or the environment.",5,match,match
co,cluster,co_harm_persona,cp,hle_173,58,"Modern consumer goods, medical products, and technological innovations depend fundamentally on petrochemical production.",yes,Pragmatism/Pragmatic Energy mix. Emphasizes the importance of oil and gas as raw materials for various non-power-related uses and manufactured goods.,5,yes,"We need fossil fuels for economic growth, prosperity, and to maintain our standard of living. Fossil fuels are good for the economy, society, and/or the environment.",4,match,match
co,cluster,co_harm_persona,cp,hle_174,58,Continued oil and gas production is necessary to drive economic progress and industrial viability.,yes,"We need fossil fuels for economic growth, prosperity, and to maintain our standard of living. Fossil fuels are good for the economy, society, and/or the environment.",5,yes,"We need fossil fuels for economic growth, prosperity, and to maintain our standard of living. Fossil fuels are good for the economy, society, and/or the environment.",4,match,match
co,cluster,co_harm_persona,cp,hle_175,59,The oil and gas industry is essential for the stability and growth of the American economy.,yes,"We need fossil fuels for economic growth, prosperity, and to maintain our standard of living. Fossil fuels are good for the economy, society, and/or the environment.",4,yes,"Patriotic Energy mix. Stresses how domestic oil and gas production benefits the nation, including energy independence, energy leadership, and the idea of supporting American energy",4,match,match
co,cluster,co_harm_persona,cp,hle_176,59,Domestic oil and gas production is fundamental to United States energy independence and national security.,yes,"Patriotic Energy mix. Stresses how domestic oil and gas production benefits the nation, including energy independence, energy leadership, and the idea of supporting American energy",5,yes,"Patriotic Energy mix. Stresses how domestic oil and gas production benefits the nation, including energy independence, energy leadership, and the idea of supporting American energy",5,match,match
co,cluster,co_harm_persona,cp,hle_177,59,The oil and gas industry is indispensable to the maintenance of the American way of life.,yes,"We need fossil fuels for economic growth, prosperity, and to maintain our standard of living. Fossil fuels are good for the economy, society, and/or the environment.",4,yes,"Patriotic Energy mix. Stresses how domestic oil and gas production benefits the nation, including energy independence, energy leadership, and the idea of supporting American energy",5,match,match
co,cluster,co_harm_persona,cp,hle_178,60,The oil and gas industry is a primary driver of economic growth and job creation.,yes,Community & Resilience. Focuses on the creation and sustainability of jobs by the oil and gas industry.,4,yes,Community & Resilience. Focuses on the creation and sustainability of jobs by the oil and gas industry.,5,match,match
co,cluster,co_harm_persona,cp,hle_179,60,Oil and gas extraction provides tangible social and economic benefits to rural and local communities.,yes,"Community & Resilience. Emphasizes how the oil and gas sector contributes to local and national economies through tax revenues, charitable efforts, and support for local businesses",4,yes,"Community & Resilience. Emphasizes how the oil and gas sector contributes to local and national economies through tax revenues, charitable efforts, and support for local businesses",4,match,match
co,cluster,co_harm_persona,cp,hle_18,5,The United States should adopt a standardized carbon pricing model based on successful regional frameworks.,no,,,no,,,no,no
co,cluster,co_harm_persona,cp,hle_180,60,Expanding natural gas production and capacity is essential for regional and national prosperity.,yes,"We need fossil fuels for economic growth, prosperity, and to maintain our standard of living. Fossil fuels are good for the economy, society, and/or the environment.",3,yes,"We need fossil fuels for economic growth, prosperity, and to maintain our standard of living. Fossil fuels are good for the economy, society, and/or the environment.",5,match,match
co,cluster,co_harm_persona,cp,hle_181,61,"The oil and gas industry is a primary driver of economic stability and employment across local, regional, and national levels.",yes,"We need fossil fuels for economic growth, prosperity, and to maintain our standard of living. Fossil fuels are good for the economy, society, and/or the environment.",4,yes,"We need fossil fuels for economic growth, prosperity, and to maintain our standard of living. Fossil fuels are good for the economy, society, and/or the environment.",5,match,match
co,cluster,co_harm_persona,cp,hle_182,61,"Domestic oil and gas production is essential for the creation and maintenance of high-paying, high-quality jobs.",yes,Community & Resilience. Focuses on the creation and sustainability of jobs by the oil and gas industry.,5,yes,Community & Resilience. Focuses on the creation and sustainability of jobs by the oil and gas industry.,5,match,match
co,cluster,co_harm_persona,cp,hle_183,61,Preserving the oil and gas industry is necessary to protect essential tax revenues and public services.,yes,"Community & Resilience. Emphasizes how the oil and gas sector contributes to local and national economies through tax revenues, charitable efforts, and support for local businesses",5,yes,"Community & Resilience. Emphasizes how the oil and gas sector contributes to local and national economies through tax revenues, charitable efforts, and support for local businesses",5,match,match
co,cluster,co_harm_persona,cp,hle_184,62,The oil and gas industry is essential for maintaining state economic stability and fiscal capacity.,yes,"We need fossil fuels for economic growth, prosperity, and to maintain our standard of living. Fossil fuels are good for the economy, society, and/or the environment.",4,yes,"Community & Resilience. Emphasizes how the oil and gas sector contributes to local and national economies through tax revenues, charitable efforts, and support for local businesses",5,match,match
co,cluster,co_harm_persona,cp,hle_185,62,Oil and gas revenues are the primary funding source for essential public services and infrastructure.,yes,"Community & Resilience. Emphasizes how the oil and gas sector contributes to local and national economies through tax revenues, charitable efforts, and support for local businesses",3,yes,"We need fossil fuels for economic growth, prosperity, and to maintain our standard of living. Fossil fuels are good for the economy, society, and/or the environment.",4,match,match
co,cluster,co_harm_persona,cp,hle_186,62,Increased oil and gas production expands the government's ability to fund ambitious public policy initiatives.,yes,"We need fossil fuels for economic growth, prosperity, and to maintain our standard of living. Fossil fuels are good for the economy, society, and/or the environment.",3,yes,"Community & Resilience. Emphasizes how the oil and gas sector contributes to local and national economies through tax revenues, charitable efforts, and support for local businesses",5,match,match
co,cluster,co_harm_persona,cp,hle_19,6,Wind energy investments provide essential economic and social benefits to rural communities and public infrastructure.,no,,,no,,,no,no
co,cluster,co_harm_persona,cp,hle_2,0,Williams Rocky Mountain Midstream drives Colorado's economic growth through significant infrastructure investment and high-paying local employment.,yes,Community & Resilience. Focuses on the creation and sustainability of jobs by the oil and gas industry.,4,no,,,match,no
co,cluster,co_harm_persona,cp,hle_20,6,Integrating wind energy into the power grid is necessary for diversifying energy portfolios and achieving energy independence.,no,,,no,,,no,no
co,cluster,co_harm_persona,cp,hle_21,7,"Michigan is successfully transitioning toward a cleaner, more sustainable, and secure energy infrastructure.",unclear,,,no,,,no,no
co,cluster,co_harm_persona,cp,hle_22,7,The leadership of the MPSC Chairman and strategic energy policies are driving positive infrastructure improvements.,no,,,no,,,no,no
co,cluster,co_harm_persona,cp,hle_23,7,"Michigan's energy providers are delivering high efficiency, cost savings, and innovative consumer value.",unclear,,,no,,,no,no
